rank,personName,age,finalWorth,category,source,country,state,city,organization,selfMade,gender,birthDate,title
36,Giovanni Ferrero,57,36200,Food & Beverage,Nutella- chocolates,Belgium,,Brussels,,FALSE,M,9/21/1964,
37,Li Ka-shing,93,34800,Diversified,diversified,Hong Kong,,,CK Hutchison Holdings,TRUE,M,6/13/1928,Senior Advisor
37,Stephen Schwarzman,75,34800,Finance & Investments,investments,United States,New York,New York,Blackstone Group,TRUE,M,2/14/1947,Chairman and CEO
39,Lee Shau Kee,94,32600,Real Estate,real estate,Hong Kong,,Hong Kong,,TRUE,M,1/29/1928,
40,Len Blavatnik,64,32500,Diversified,music- chemicals,United Kingdom,,London,,TRUE,M,06/01/1957,
41,Jacqueline Mars,82,31700,Food & Beverage,candy- pet food,United States,Virginia,The Plains,,FALSE,F,10/10/1939,
41,John Mars,86,31700,Food & Beverage,candy- pet food,United States,Wyoming,Jackson,,FALSE,M,10/15/1935,
43,Alain Wertheimer,73,31200,Fashion & Retail,Chanel,United States,New York,New York,,FALSE,M,8/28/1948,
43,Gerard Wertheimer,71,31200,Fashion & Retail,Chanel,United States,New York,New York,,FALSE,M,01/09/1951,
45,German Larrea Mota Velasco & family,68,30800,Metals & Mining,mining,Mexico,,Mexico City,,FALSE,M,10/26/1953,
46,Gina Rinehart,68,30200,Metals & Mining,mining,Australia,,Perth,Hancock Prospecting,FALSE,F,02/09/1954,Executive Chairman
47,Shiv Nadar,76,28700,Technology,software services,India,,Delhi,,TRUE,M,7/18/1945,
48,Jim Simons,83,28600,Finance & Investments,hedge funds,United States,New York,East Setauket,Renaissance Technologies Corp.,TRUE,M,4/25/1938,Founder
49,He Xiangjian,79,28300,Manufacturing,home appliances,China,,Foshan,,TRUE,M,08/11/1942,
50,Miriam Adelson,76,27500,Gambling & Casinos,casinos,United States,Nevada,Las Vegas,,FALSE,F,10/10/1945,
51,Dietrich Mateschitz,77,27400,Food & Beverage,Red Bull,Austria,,Fuschl am See,,TRUE,M,5/20/1944,
52,Leonardo Del Vecchio & family,86,27300,Fashion & Retail,eyeglasses,Italy,,Milan,,TRUE,M,5/22/1935,
53,Ken Griffin,53,27200,Finance & Investments,hedge funds,United States,Illinois,Chicago,Citadel LLC,TRUE,M,10/15/1968,Founder & CEO
54,Tadashi Yanai & family,73,26100,Fashion & Retail,fashion retail,Japan,,Tokyo,,TRUE,M,02/07/1949,
55,William Lei Ding,50,25200,Technology,online games,China,,Hangzhou,,TRUE,M,10/01/1971,
56,Susanne Klatten,59,24300,Automotive,BMW- pharmaceuticals,Germany,,Bad Homburg,,FALSE,F,4/28/1962,
56,Cyrus Poonawalla,80,24300,Healthcare,vaccines,India,,Pune,,FALSE,M,05/11/1941,
56,Wang Wei,51,24300,Service,package delivery,China,,Shenzhen,,TRUE,M,10/01/1970,
59,Qin Yinglin,56,24100,Food & Beverage,pig breeding,China,,Nanyang,,TRUE,M,4/17/1965,
60,Sam Bankman-Fried,30,24000,Finance & Investments,cryptocurrency exchange,Bahamas,,Nassau,FTX,TRUE,M,03/05/1992,Founder
61,Takemitsu Takizaki,76,23900,Manufacturing,sensors,Japan,,Osaka,,TRUE,M,06/10/1945,
62,Li Shufu,58,23700,Automotive,automobiles,China,,Hangzhou,,TRUE,M,06/01/1963,
63,Emmanuel Besnier,51,23500,Food & Beverage,cheese,France,,Laval,,FALSE,M,9/18/1970,
64,R. Budi Hartono,81,23200,Finance & Investments,banking- tobacco,Indonesia,,Kudus,,FALSE,M,01/01/1941,
65,Leonard Lauder,89,23100,Fashion & Retail,Estee Lauder,United States,New York,New York,The Estée Lauder Companies,FALSE,M,3/19/1933,Chairman Emeritus 
66,Guillaume Pousaz,40,23000,Finance & Investments,fintech,,,,,TRUE,M,8/15/1981,
67,Iris Fontbona & family,79,22800,Metals & Mining,mining,Chile,,Santiago,,FALSE,F,01/01/1943,
67,Jack Ma,57,22800,Technology,e-commerce,China,,Hangzhou,Alibaba Group,TRUE,M,09/10/1964,Founder and Executive Chairman
69,Michael Hartono,82,22300,Manufacturing,banking- tobacco,Indonesia,,Kudus,,FALSE,M,10/02/1939,
70,Eric Schmidt,66,22100,Technology,Google,United States,California,Atherton,,TRUE,M,4/27/1955,
71,Ray Dalio,72,22000,Finance & Investments,hedge funds,United States,Connecticut,Greenwich,Bridgewater Associates,TRUE,M,08/08/1949,Founder & Co-Chief Investment Officer
71,Daniel Gilbert,60,22000,Finance & Investments,Quicken Loans,United States,Michigan,Franklin,,TRUE,M,1/17/1962,
73,Thomas Frist- Jr. & family,83,21800,Healthcare,hospitals,United States,Tennessee,Nashville,,TRUE,M,08/12/1938,
74,Masayoshi Son,64,21300,Telecom,internet- telecom,Japan,,Tokyo,Softbank,TRUE,M,08/11/1957,CEO
75,Abigail Johnson,60,21200,Finance & Investments,money management,United States,Massachusetts,Milton,Fidelity Investments,FALSE,F,12/19/1961,Chairman & CEO
76,Rupert Murdoch & family,91,20800,Media & Entertainment,newspapers- TV network,United States,New York,New York,News Corp,FALSE,M,03/11/1931,Chairman and CEO
77,Stefan Quandt,55,20700,Automotive,BMW,Germany,,Frankfurt,,FALSE,M,05/09/1966,
78,Jensen Huang,59,20600,Technology,semiconductors,United States,California,Los Altos,NVIDIA,TRUE,M,2/17/1963,CEO & President
79,Huang Shilin,55,20300,Automotive,batteries,China,,Ningde,,TRUE,M,01/01/1967,
80,Thomas Peterffy,77,20100,Finance & Investments,discount brokerage,United States,Florida,Palm Beach,,TRUE,M,9/30/1944,
81,Radhakishan Damani,67,20000,Fashion & Retail,retail- investments,India,,Mumbai,,TRUE,M,01/01/1955,
82,Pang Kang,66,19600,Food & Beverage,soy sauce,China,,Foshan,,TRUE,M,1/19/1956,
83,Wang Chuanfu,56,19500,Automotive,batteries- automobiles,China,,Shenzhen,,TRUE,M,2/15/1966,
84,Reinhold Wuerth & family,86,19000,Manufacturing,fasteners,Germany,,Kuenzelsau,,TRUE,M,4/20/1935,
85,Theo Albrecht- Jr. & family,71,18700,Fashion & Retail,Aldi- Trader Joe's,Germany,,Mulheim an der Ruhr,,FALSE,M,01/01/1951,
85,Yang Huiyan & family,40,18700,Real Estate,real estate,China,,Foshan,,FALSE,F,9/27/1981,
87,Vladimir Lisin,65,18400,Metals & Mining,steel- transport,Russia,,Moscow,,TRUE,M,05/07/1956,
88,Fan Hongwei & family,55,18200,Energy,petrochemicals,China,,Wujiang,,TRUE,F,01/01/1967,
89,Lakshmi Mittal,71,17900,Metals & Mining,steel,United Kingdom,,London,ArcelorMittal (ADR),FALSE,M,6/15/1950,Chairman and CEO
90,Andrew Forrest,60,17800,Metals & Mining,mining,Australia,,Perth,,TRUE,M,11/18/1961,
91,Jiang Rensheng & family,68,17700,Healthcare,vaccines,China,,Chongqing,,TRUE,M,10/08/1953,
91,Savitri Jindal & family,72,17700,Metals & Mining,steel,India,,Hisar,,FALSE,F,3/20/1950,
91,Wang Wenyin,54,17700,Metals & Mining,mining- copper products,China,,Shenzhen,,TRUE,M,01/01/1968,
94,Li Xiting,71,17600,Healthcare,medical devices,China,,Shenzhen,,TRUE,M,01/01/1951,
94,Stefan Persson,74,17600,Fashion & Retail,H&M,Sweden,,Stockholm,H&M - Hennes & Mauritz,FALSE,M,10/04/1947,Chairman
96,Steve Cohen,65,17400,Finance & Investments,hedge funds,United States,Connecticut,Greenwich,Point72 Asset Management,TRUE,M,06/11/1956,Founder
97,Vladimir Potanin,61,17300,Metals & Mining,metals,Russia,,Moscow,,TRUE,M,01/03/1961,
98,Harold Hamm & family,76,17200,Energy,oil & gas,United States,Oklahoma,Oklahoma City,Continental Resources,TRUE,M,12/11/1945,Chairman and CEO
99,Sun Piaoyang,63,17100,Healthcare,pharmaceuticals,China,,Lianyungang,,TRUE,M,09/01/1958,
100,Luo Liguo & family,66,17000,Manufacturing,chemicals,China,,Ningbo,,TRUE,M,03/01/1956,
100,Peter Woo,75,17000,Real Estate,real estate,Hong Kong,,Hong Kong,,FALSE,M,09/05/1946,
102,Gianluigi & Rafaela Aponte,81,16800,Logistics,Shipping,Switzerland,,Geneva,,TRUE,,6/27/1940,
103,David Tepper,64,16700,Finance & Investments,hedge funds,United States,Florida,Palm Beach,Appaloosa Management,TRUE,M,09/11/1957,President and Founder
104,Renata Kellnerova & family,54,16600,Finance & Investments,finance- telecommunications,Czechia,,Prague,,FALSE,F,07/04/1967,
104,John Menard- Jr.,82,16600,Fashion & Retail,home improvement stores,United States,Wisconsin,Eau Claire,Menards,TRUE,M,1/22/1940,Entrepreneur
106,Kumar Birla,54,16500,Diversified,commodities,India,,Mumbai,,FALSE,M,6/14/1967,
106,Carl Icahn,86,16500,Finance & Investments,investments,United States,Florida,Indian Creek,Icahn Capital Management,TRUE,M,2/16/1936,Founder
106,Hank & Doug Meijer,,16500,Fashion & Retail,supermarkets,United States,Michigan,Grand Rapids,,FALSE,M,,
106,Lukas Walton,35,16500,Fashion & Retail,Walmart,United States,Wyoming,Jackson,,FALSE,M,9/19/1986,
110,Laurene Powell Jobs & family,58,16400,Technology,Apple- Disney,United States,California,Palo Alto,Emerson Collective,FALSE,F,11/06/1963,Investor- Philanthropist
111,James Ratcliffe,69,16300,Manufacturing,chemicals,United Kingdom,,London,,TRUE,M,01/01/1953,
112,Donald Bren,89,16200,Real Estate,real estate,United States,California,Newport Beach,Irvine Company,TRUE,M,05/11/1932,Chairman
113,Xu Hang,55,16100,Healthcare,medical devices,China,,Shenzhen,,TRUE,M,5/22/1966,
114,Lu Xiangyang,59,15700,Automotive,automobiles- batteries,China,,Guangzhou,,TRUE,M,12/28/1962,
115,Dilip Shanghvi,66,15600,Healthcare,pharmaceuticals,India,,Mumbai,,TRUE,M,10/01/1955,
116,Wei Jianjun & family,58,15500,Automotive,automobiles,China,,Baoding,,TRUE,M,03/01/1964,
117,Jorge Paulo Lemann & family,82,15400,Food & Beverage,beer,Switzerland,,Zurich,,TRUE,M,8/26/1939,Investor- Philanthropist
117,Eyal Ofer,71,15400,Diversified,real estate- shipping,Monaco,,Monte Carlo,,FALSE,M,06/02/1950,
119,Mike Cannon-Brookes,42,15300,Technology,software,Australia,,Sydney,,TRUE,M,11/17/1979,
119,Wu Yajun,58,15300,Real Estate,real estate,China,,Beijing,Longfor Group Holdings,TRUE,F,01/01/1964,Cofounder-chair
121,Charlene de Carvalho-Heineken & family,67,15200,Food & Beverage,Heineken,United Kingdom,,London,,FALSE,F,6/30/1954,
121,Michael Platt,54,15200,Finance & Investments,hedge funds,Switzerland,,Geneva,BlueCrest Capital Management,TRUE,M,3/18/1968,Founder 
123,Pavel Durov,37,15100,Technology,messaging app,United Arab Emirates,,Dubai,,TRUE,M,10/10/1984,
123,Scott Farquhar,42,15100,Technology,software,Australia,,Sydney,,TRUE,M,12/17/1979,
125,Pallonji Mistry,92,15000,Construction & Engineering,construction,India,,Mumbai,,FALSE,M,06/01/1929,
126,Dang Yanbao,49,14800,Metals & Mining,coal,China,,Yinchuan,,TRUE,M,02/01/1973,
127,Robert Pera,44,14600,Technology,wireless networking gear,United States,California,San Jose,Ubiquiti,TRUE,M,03/10/1978,Chief Executive Officer
128,Donald Newhouse,92,14400,Media & Entertainment,media,United States,New York,New York,,FALSE,M,08/05/1929,
129,Uday Kotak,63,14300,Finance & Investments,banking,India,,Mumbai,,TRUE,M,3/15/1959,
130,Aliko Dangote,64,14000,Manufacturing,cement- sugar,Nigeria,,Lagos,Dangote Group,TRUE,M,04/10/1957,CEO
130,Leonid Mikhelson,66,14000,Energy,gas- chemicals,Russia,,Moscow,,TRUE,M,08/11/1955,
132,Sunil Mittal & family,64,13900,Telecom,telecom,India,,Delhi,,TRUE,M,10/23/1957,
133,Robert & Philip Ng,,13700,Real Estate,real estate,Singapore,,Singapore,,FALSE,M,,
134,Liu Hanyuan,58,13650,Food & Beverage,agribusiness,China,,Chengdu,,TRUE,M,01/01/1964,
135,Joseph Lau,70,13600,Real Estate,real estate,Hong Kong,,Hong Kong,,TRUE,M,7/21/1951,
135,Anders Holch Povlsen,49,13600,Fashion & Retail,fashion retail,Denmark,,Aarhus,,FALSE,M,11/04/1972,
137,Dhanin Chearavanont,82,13500,Diversified,diversified,Thailand,,Bangkok,,FALSE,M,4/19/1939,
138,Gong Hongjia & family,57,13200,Finance & Investments,video surveillance,Hong Kong,,Hong Kong,,TRUE,M,01/01/1965,
138,Liu Yongxing,73,13200,Service,diversified,China,,Shanghai,East Hope Group,TRUE,M,06/01/1948,Chairman
138,Alexey Mordashov,56,13200,Metals & Mining,steel- investments,Russia,,Moscow,,TRUE,M,9/26/1965,
138,Wang Jianlin,67,13200,Real Estate,real estate,China,,Beijing,Dalian Wanda Group,TRUE,M,10/01/1954,Chairman
142,David Duffield,81,12900,Technology,business software,United States,Nevada,Incline Village,Workday,TRUE,M,9/21/1940,Entrepreneur
142,Li Zhenguo & family,54,12900,Manufacturing,solar wafers and modules,China,,Xi'an,,TRUE,M,01/01/1968,
144,Harry Triguboff,89,12800,Real Estate,real estate,Australia,,Sydney,,TRUE,M,03/03/1933,
144,Zhang Zhidong,50,12800,Technology,internet media,China,,Shenzhen,,TRUE,M,01/01/1972,
146,Chen Bang,56,12700,Healthcare,hospitals,China,,Changsha,,TRUE,M,09/01/1965,
146,John Doerr,70,12700,Technology,venture capital,United States,California,Woodside,Kleiner Perkins,TRUE,M,6/29/1951,Investor
146,Hinduja brothers,,12700,Diversified,diversified,United Kingdom,,London,,FALSE,M,,
149,Kwong Siu-hing,92,12600,Real Estate,real estate,Hong Kong,,Hong Kong,,FALSE,F,12/02/1929,
150,Pei Zhenhua,63,12500,Energy,batteries,China,,Ningde,,TRUE,M,01/01/1959,
151,Ricardo Salinas Pliego & family,66,12400,Fashion & Retail,retail- media,Mexico,,Mexico City,,FALSE,M,10/19/1955,
152,Jim Pattison,93,12200,Diversified,diversified,Canada,,Vancouver,Jim Pattison Group,TRUE,M,10/01/1928,Founder- Chairman and CEO
152,Charles Schwab,84,12200,Finance & Investments,discount brokerage,United States,California,Woodside,Charles Schwab,TRUE,M,7/29/1937,Investor
154,Goh Cheng Liang,94,12100,Manufacturing,paints,Singapore,,Singapore,,TRUE,M,6/27/1927,
154,Lin Jianhua & family,59,12100,Manufacturing,solar panel components,China,,Hangzhou,,TRUE,M,08/01/1962,
156,Charoen Sirivadhanabhakdi,77,12000,Food & Beverage,alcohol- real estate,Thailand,,Bangkok,,TRUE,M,05/02/1944,
156,Jeff Yass,63,12000,Finance & Investments,trading- investments,United States,Pennsylvania,Haverford,,TRUE,M,7/17/1958,
158,John Fredriksen,77,11900,Logistics,shipping,United Kingdom,,London,,TRUE,M,02/01/1945,Investor
158,Andreas Struengmann & family,72,11900,Healthcare,pharmaceuticals,Germany,,Tegernsee,,TRUE,M,2/16/1950,
158,Thomas Struengmann & family,72,11900,Healthcare,pharmaceuticals,Germany,,Tegernsee,,TRUE,M,2/16/1950,
161,Mikhail Fridman,57,11800,Energy,oil- banking- telecom,United Kingdom,,London,,TRUE,M,4/21/1964,
161,Sarath Ratanavadi,56,11800,Energy,energy,Thailand,,Bangkok,,TRUE,M,07/12/1965,
163,Robert Kuok,98,11700,Diversified,palm oil- shipping- property,Hong Kong,,Hong Kong,,TRUE,M,10/06/1923,
163,Lei Jun,52,11700,Technology,smartphones,China,,Beijing,Xiaomi,TRUE,M,12/16/1969,Founder and CEO
163,Zhang Congyuan,74,11700,Fashion & Retail,shoes,,,,,TRUE,M,01/01/1948,
166,Lui Che Woo,93,11600,Gambling & Casinos,casinos/hotels,Hong Kong,,Hong Kong,,TRUE,M,04/01/1929,
167,Brian Chesky,40,11500,Technology,Airbnb,United States,California,San Francisco,AirBnB,TRUE,M,8/29/1981,CEO and Cofounder
167,Israel Englander,73,11500,Finance & Investments,hedge funds,United States,New York,New York,Millennium Management- L.L.C.,TRUE,M,9/30/1948,Founder
167,Dustin Moskovitz,37,11500,Technology,Facebook,United States,California,San Francisco,Asana,TRUE,M,5/22/1984,Cofounder
167,Alisher Usmanov,68,11500,Metals & Mining,steel- telecom- investments,Russia,,Moscow,Metalloinvest,TRUE,M,09/09/1953,Founder
171,Jay Chaudhry,62,11400,Technology,security software,United States,Nevada,Reno,,TRUE,M,8/26/1959,
171,Anthony Pratt,61,11400,Manufacturing,manufacturing,Australia,,Melbourne,,FALSE,M,04/11/1960,
173,Colin Zheng Huang,42,11300,Technology,e-commerce,China,,Shanghai,,TRUE,M,02/02/1980,
173,Jin Baofang,69,11300,Energy,solar panels,China,,Xingtai,,TRUE,M,09/01/1952,
173,Pierre Omidyar,54,11300,Technology,eBay- PayPal,United States,Hawaii,Honolulu,eBay,TRUE,M,6/21/1967,Entrepreneur
173,Gennady Timchenko,69,11300,Energy,oil- gas,Russia,,Moscow,,TRUE,M,11/09/1952,
177,Carl Cook,59,11100,Healthcare,medical devices,United States,Indiana,Bloomington,,FALSE,M,8/19/1962,
177,Andrey Melnichenko,50,11100,Metals & Mining,coal- fertilizers,Russia,,Moscow,,TRUE,M,03/08/1972,
179,Xing Wang,43,11000,Technology,e-commerce,China,,Beijing,,TRUE,M,2/18/1979,
180,Philip Anschutz,82,10900,Finance & Investments,investments,United States,Colorado,Denver,,FALSE,M,12/28/1939,
180,David Cheriton,71,10900,Technology,Google,United States,California,Palo Alto,Stanford University,TRUE,M,3/29/1951,Entrepreneur
180,Alexander Otto,54,10900,Real Estate,real estate,Germany,,Hamburg,,FALSE,M,07/07/1967,
183,Diane Hendricks,75,10700,Construction & Engineering,roofing,United States,Wisconsin,Afton,ABC Supply,TRUE,F,03/02/1947,Entrepreneur
183,Stanley Kroenke,74,10700,Sports,sports- real estate,United States,Texas,Electra,,TRUE,M,7/29/1947,
185,Jerry Jones,79,10600,Sports,Dallas Cowboys,United States,Texas,Dallas,Dallas Cowboys,TRUE,M,10/13/1942,President and General Manager
185,Quek Leng Chan,80,10600,Diversified,banking- property,Malaysia,,Kuala Lumpur,,FALSE,M,08/12/1941,
185,Eduardo Saverin,40,10600,Technology,Facebook,Singapore,,Singapore,Meta Platforms,TRUE,M,3/19/1982,Investor
188,Vagit Alekperov,71,10500,Energy,oil,Russia,,Moscow,,TRUE,M,09/01/1950,
188,Richard Qiangdong Liu,48,10500,Technology,e-commerce,China,,Beijing,,TRUE,M,03/10/1974,
188,Idan Ofer,66,10500,Diversified,drilling- shipping,United Kingdom,,London,,FALSE,M,10/02/1955,
191,Melker Schorling & family,74,10400,Finance & Investments,investments,Sweden,,Stockholm,,TRUE,M,5/15/1947,
192,Chase Coleman- III.,46,10300,Finance & Investments,investments,United States,New York,New York,Tiger Global Management,TRUE,M,6/21/1975,Investor
192,Shuirong Li,65,10300,Manufacturing,petrochemicals,China,,Hangzhou,,TRUE,M,07/01/1956,
192,Stefano Pessina,80,10300,Fashion & Retail,drugstores,Monaco,,Monte Carlo,,FALSE,M,06/04/1941,
192,Mikhail Prokhorov,56,10300,Finance & Investments,investments,Russia,,Moscow,Brooklyn Nets,TRUE,M,05/03/1965,Owner
192,Marcel Herrmann Telles,72,10300,Food & Beverage,beer,Brazil,,Sao Paulo,,TRUE,M,01/01/1950,
197,Leon Black,70,10000,Finance & Investments,private equity,United States,New York,New York,,TRUE,M,7/31/1951,
197,Joe Gebbia,40,10000,Technology,Airbnb,United States,California,San Francisco,AirBnB,TRUE,M,8/21/1981,Chief Product Officer & Cofounder
197,David Geffen,79,10000,Media & Entertainment,movies- record labels,United States,California,Beverly Hills,DreamWorks Animation SKG Inc. (Cl A),TRUE,M,2/21/1943,Entrepreneur
197,Yu Renrong,56,10000,Manufacturing,semiconductors,China,,Ningbo,,TRUE,M,04/01/1966,
201,Andrew Beal,69,9900,Finance & Investments,banks- real estate,United States,Texas,Dallas,,TRUE,M,11/29/1952,
201,George Kaiser,79,9900,Energy,oil & gas- banking,United States,Oklahoma,Tulsa,BOK Financial,FALSE,M,7/29/1942,Chairman
201,Qi Shi & family,52,9900,Technology,financial information,China,,Shanghai,,TRUE,M,01/03/1970,
201,Luis Carlos Sarmiento,89,9900,Finance & Investments,banking,Colombia,,Bogota,,TRUE,M,1/27/1933,
201,Andreas von Bechtolsheim & family,66,9900,Technology,Google,United States,California,Palo Alto,Arista Networks,TRUE,M,9/30/1955,Entrepreneur
206,Jan Koum,46,9800,Technology,WhatsApp,United States,California,Atherton,WhatsApp Inc.,TRUE,M,2/24/1976,Entrepreneur
206,Jorge Moll Filho & family,77,9800,Healthcare,hospitals,Brazil,,Rio de Janeiro,,TRUE,M,01/01/1945,
206,Azim Premji,76,9800,Technology,software services,India,,Bangalore,Wipro Limited (ADR),FALSE,M,7/24/1945,Chairman
206,Finn Rausing,67,9800,Food & Beverage,packaging,United Kingdom,,London,,FALSE,M,01/01/1955,
206,Jorn Rausing,62,9800,Food & Beverage,packaging,United Kingdom,,Surrey,,FALSE,M,01/01/1960,
206,Kirsten Rausing,69,9800,Food & Beverage,packaging,United Kingdom,,Newmarket,,FALSE,F,06/06/1952,
206,Wang Laisheng,57,9800,Technology,electronics components,China,,Shenzhen,,TRUE,M,12/14/1964,
213,Tom & Judy Love,,9700,Fashion & Retail,retail & gas stations,United States,Oklahoma,Oklahoma City,Love's Travel Stops and Country Stores,TRUE,,,Chairman and CEO
214,John Collison,31,9500,Technology,payments software,United States,California,San Francisco,Stripe,TRUE,M,08/06/1990,Entrepreneur
214,Patrick Collison,33,9500,Technology,payment software,United States,California,San Francisco,Stripe,TRUE,M,09/09/1988,Cofounder
214,Gordon Moore,93,9500,Technology,Intel,United States,California,Woodside,Intel,TRUE,M,01/03/1929,Cofounder and Chairman Emeritus
214,Wang Laichun,54,9500,Technology,electronics components,China,,Shenzhen,,TRUE,F,06/03/1967,
218,Graeme Hart,66,9400,Finance & Investments,investments,New Zealand,,Auckland,,TRUE,M,06/06/1955,
218,Zheng Shuliang & family,76,9400,Metals & Mining,aluminum products,China,,Binzhou,,FALSE,F,01/01/1946,
220,Cao Renxian,53,9300,Energy,photovoltaic equipment,China,,Hefei,,TRUE,M,7/24/1968,
221,Nathan Blecharczyk,38,9200,Technology,Airbnb,United States,California,San Francisco,,TRUE,M,06/11/1983,
221,James Dyson,74,9200,Manufacturing,vacuums,United Kingdom,,Gloucestershire,,TRUE,M,05/02/1947,
223,Ivan Glasenberg,65,9100,Metals & Mining,mining,Switzerland,,Ruschlikon,,TRUE,M,01/07/1957,
223,Kim Beom-su,56,9100,Technology,online services,South Korea,,Seoul,Kakao,TRUE,M,3/27/1966,Entrepreneur
223,Jay Y. Lee,53,9100,Diversified,Samsung,South Korea,,Seoul,Samsung Electronics Co. Ltd.,FALSE,M,6/23/1968,Vice Chairman
223,Liu Yonghao & family,70,9100,Service,agribusiness,China,,Chengdu,,TRUE,M,09/01/1951,
227,Ann Walton Kroenke,73,9000,Fashion & Retail,Walmart,United States,Texas,Electra,,FALSE,F,12/18/1948,
227,Li Ping,54,9000,Automotive,batteries,China,,Ningde,,TRUE,M,01/01/1968,
227,Eric Wittouck,75,9000,Finance & Investments,investments,Monaco,,,,FALSE,M,10/01/1946,
230,Ian & Richard Livingstone,,8900,Real Estate,real estate,United Kingdom,,London,,TRUE,M,,
